,Cav. Cap.,,,,
Date,Start Balance,Gain / Loss,End Balance ,Daily Gain / Loss,Monthly Gain / Loss
11/18/24,3'023'611.00,1'324.05,3'024'935.05,0.04%,
11/19/24,3'024'935.05,20'083.99,3'045'019.04,0.66%,
11/20/24,3'045'019.04,-7'228.63,3'037'790.41,-0.24%,
11/21/24,3'037'790.41,-12'164.69,3'025'625.72,-0.40%,
11/22/24,3'025'625.72,-12'078.29,3'013'547.43,-0.40%,
11/25/24,3'013'547.43,-16'789.16,2'996'758.27,-0.56%,
11/26/24,2'996'758.27,8'440.40,3'005'198.67,0.28%,
11/27/24,3'005'198.67,-10'244.96,2'994'953.71,-0.34%,
11/29/24,2'994'953.71,14'663.73,3'009'617.44,0.49%,-0.34%
End of Nov,,,,,
12/2/24,3'009'617.44,27'821.64,3'037'439.08,0.92%,
12/3/24,3'037'439.08,15'473.54,3'052'912.62,0.51%,
12/4/24,3'052'912.62,15'914.05,3'068'826.67,0.52%,
12/5/24,3'068'826.67,10'769.08,3'079'595.75,0.35%,
12/6/24,3'079'595.75,17'239.19,3'096'834.94,0.56%,
12/9/24,3'096'834.94,-11'136.22,3'085'698.72,-0.36%,
12/10/24,3'085'698.72,-5'704.41,3'079'994.31,-0.18%,
12/11/24,3'079'994.31,35'572.23,3'115'566.54,1.15%,
12/12/24,3'115'566.54,-10'632.70,3'104'933.84,-0.34%,
12/13/24,3'104'933.84,47'992.25,3'152'926.09,1.55%,
12/16/24,3'152'926.09,35'321.08,3'188'247.17,1.12%,
12/17/24,3'188'247.17,-1'749.97,3'186'497.20,-0.05%,
12/18/24,3'186'497.20,-29'201.82,3'157'295.38,-0.92%,
12/19/24,3'157'295.38,307.36,3'157'602.74,0.01%,
12/20/24,3'157'602.74,-2'458.88,3'155'143.86,-0.08%,
12/23/24,3'155'143.86,41'850.58,3'196'994.44,1.33%,
12/24/24,3'196'994.44,15'154.84,3'212'149.28,0.47%,
12/26/24,3'212'149.28,-4'905.71,3'207'243.57,-0.15%,
12/27/24,3'207'243.57,-16'853.82,3'190'389.75,-0.53%,
12/30/24,3'190'389.75,-7'569.61,3'182'820.14,-0.24%,
12/31/24,3'182'820.14,-18'802.45,3'164'017.69,-0.59%,5.13%
End of Dec.,,,,,
1/2/25,3'000'000.00,1'391.51,3'001'391.51,0.05%,
1/3/25,3'001'391.51,13'763.97,3'015'155.48,0.46%,
1/6/25,3'015'155.48,18'860.50,3'034'015.98,0.63%,
1/7/25,3'034'015.98,-19'629.76,3'014'386.22,-0.65%,
1/8/25,3'014'386.22,-2'343.83,3'012'042.39,-0.08%,
1/10/25,3'012'042.39,8'434.86,3'020'477.25,0.28%,
1/13/25,3'020'477.25,-12'910.73,3'007'566.52,-0.43%,
1/14/25,3'007'566.52,-20'382.30,2'987'184.22,-0.68%,
1/15/25,2'987'184.22,19'029.61,3'006'213.83,0.64%,
1/16/25,3'006'213.83,-6'675.51,2'999'538.32,-0.22%,
1/17/25,2'999'538.32,2'769.13,3'002'307.45,0.09%,
1/21/25,3'002'307.45,2'538.84,3'004'846.29,0.08%,
1/22/25,3'004'846.29,9'766.57,3'014'612.86,0.33%,
1/23/25,3'014'612.86,-1'848.49,3'012'764.37,-0.06%,
1/24/25,3'012'764.37,6'704.45,3'019'468.82,0.22%,
1/27/25,3'019'468.82,-43'848.61,2'975'620.21,-1.45%,
1/28/25,2'975'620.21,23'638.05,2'999'258.26,0.79%,
1/29/25,2'999'258.26,-4'000.87,2'995'257.39,-0.13%,
1/30/25,2'995'257.39,8'087.23,3'003'344.62,0.27%,
1/31/25,3'003'344.62,8'080.64,3'011'425.26,0.27%,0.38%
End of Jan. ,,,,,
2/3/25,3'011'425.26,-15'174.79,2'996'250.47,-0.50%,
2/4/25,2'996'250.47,18'262.76,3'014'513.23,0.61%,
2/5/25,3'014'513.23,-2'226.41,3'012'286.82,-0.07%,
2/6/25,3'012'286.82,10'093.36,3'022'380.18,0.34%,
2/7/25,3'022'380.18,-13'805.00,3'008'575.18,-0.46%,
2/10/25,3'008'575.18,2'478.43,3'011'053.61,0.08%,
2/11/25,3'011'053.61,-7'546.15,3'003'507.46,-0.25%,
2/12/25,3'003'507.46,6'872.72,3'010'380.18,0.23%,
2/13/25,3'010'380.18,3'684.16,3'014'064.34,0.12%,
2/14/25,3'014'064.34,-2'276.10,3'011'788.24,-0.08%,
2/18/25,3'011'788.24,-11'336.85,3'000'451.39,-0.38%,
2/19/25,3'000'451.39,-145.96,3'000'305.43,-0.00%,
2/20/25,3'000'305.43,-10'815.61,2'989'489.82,-0.36%,
2/21/25,2'989'489.82,-10'716.83,2'978'772.99,-0.36%,
2/24/25,2'978'772.99,-12'040.56,2'966'732.43,-0.40%,
2/25/25,2'966'732.43,-7'735.77,2'958'996.66,-0.26%,
2/26/25,2'958'996.66,7'701.08,2'966'697.74,0.26%,
2/27/25,2'966'697.74,-22'957.90,2'943'739.84,-0.77%,
2/28/25,2'943'739.84,6'933.70,2'950'673.54,0.24%,-2.02%
End of Feb. ,,,,,
3/3/25,2'950'673.54,-18'343.25,2'932'330.29,-0.62%,
3/4/25,2'932'330.29,4'633.79,2'936'964.08,0.16%,
3/5/25,2'936'964.08,11'978.64,2'948'942.72,0.41%,
3/6/25,2'948'942.72,-19'370.59,2'929'572.13,-0.66%,
3/7/25,2'929'572.13,-7'720.40,2'921'851.73,-0.26%,
3/10/25,2'921'851.73,-33'275.91,2'888'575.82,-1.14%,
3/11/25,2'888'575.82,15'070.84,2'903'646.66,0.52%,
3/12/25,2'903'646.66,15'158.63,2'918'805.29,0.52%,
3/13/25,2'918'805.29,-12'023.22,2'906'782.07,-0.41%,
3/14/25,2'906'782.07,7'676.00,2'914'458.07,0.26%,
3/17/25,2'914'458.07,-9'891.13,2'904'566.94,-0.34%,
3/18/25,2'904'566.94,-15'480.24,2'889'086.70,-0.53%,
3/19/25,2'889'086.70,8'119.13,2'897'205.83,0.28%,
3/20/25,2'897'205.83,3'418.39,2'900'624.22,0.12%,
3/21/25,2'900'624.22,8'151.49,2'908'775.71,0.28%,
3/24/25,2'908'775.71,16'298.53,2'925'074.24,0.56%,
3/25/25,2'925'074.24,-416.80,2'924'657.44,-0.01%,
3/26/25,2'924'657.44,-23'160.66,2'901'496.78,-0.79%,
3/27/25,2'901'496.78,-4'015.90,2'897'480.88,-0.14%,
3/28/25,2'897'480.88,-9'933.76,2'887'547.12,-0.34%,
3/31/25,2'887'547.12,-4'656.48,2'882'890.64,-0.16%,-2.30%
End Mar,,,,,
4/1/25,2'882'890.64,8'573.60,2'891'464.24,0.30%,
4/2/25,2'891'464.24,7'991.63,2'899'455.87,0.28%,
4/3/25,2'899'455.87,-24'863.16,2'874'592.71,-0.86%,
4/4/25,2'874'592.71,-10'506.86,2'864'085.85,-0.37%,
4/7/25,2'864'085.85,9'541.11,2'873'626.96,0.33%,
4/8/25,2'873'626.96,-3'986.85,2'869'640.11,-0.14%,
4/9/25,2'869'640.11,50'177.88,2'919'817.99,1.75%,
4/10/25,2'919'817.99,-16'933.92,2'902'884.07,-0.58%,
4/11/25,2'902'884.07,11'107.70,2'913'991.77,0.38%,
4/14/25,2'913'991.77,-7'911.57,2'906'080.20,-0.27%,
4/15/25,2'906'080.20,-889.83,2'905'190.37,-0.03%,
4/16/25,2'905'190.37,-21'906.44,2'883'283.93,-0.75%,
4/17/25,2'883'283.93,13'214.57,2'896'498.50,0.46%,
4/21/25,2'896'498.50,-9'134.16,2'887'364.34,-0.32%,
4/22/25,2'887'364.34,5'862.61,2'893'226.95,0.20%,
4/23/25,2'893'226.95,16'903.20,2'910'130.15,0.58%,
4/24/25,2'910'130.15,15'855.12,2'925'985.27,0.54%,
4/25/25,2'925'985.27,18'763.90,2'944'749.17,0.64%,
4/28/25,2'944'749.17,-5'939.25,2'938'809.92,-0.20%,
4/29/25,2'938'809.92,522.28,2'939'332.20,0.02%,
4/30/25,2'939'332.20,-784.03,2'938'548.17,-0.03%,1.93%
End Apr,,,,,
5/1/25,2'938'548.17,1'577.22,2'940'125.39,0.05%,
5/2/25,2'940'125.39,11'705.73,2'951'831.12,0.40%,
5/5/25,2'951'831.12,-12'677.42,2'939'153.70,-0.43%,
5/6/25,2'939'153.70,-9'078.74,2'930'074.96,-0.31%,
5/7/25,2'930'074.96,-373.99,2'929'700.97,-0.01%,
5/8/25,2'929'700.97,-4'764.05,2'924'936.92,-0.16%,
5/9/25,2'924'936.92,1'589.24,2'926'526.16,0.05%,
5/12/25,2'926'526.16,23'863.33,2'950'389.49,0.82%,
5/13/25,2'950'389.49,18'303.03,2'968'692.52,0.62%,
5/14/25,2'968'692.52,7'235.02,2'975'927.54,0.24%,
5/15/25,2'975'927.54,-13'405.14,2'962'522.40,-0.45%,
5/16/25,2'962'522.40,2'514.93,2'965'037.33,0.08%,
5/19/25,2'965'037.33,-3'588.81,2'961'448.52,-0.12%,
5/20/25,2'961'448.52,-3'471.28,2'957'977.24,-0.12%,
5/21/25,2'957'977.24,4'910.19,2'962'887.43,0.17%,
5/22/25,2'962'887.43,5'995.30,2'968'882.73,0.20%,
5/23/25,2'968'882.73,6'834.44,2'975'717.17,0.23%,
5/27/25,2'975'717.17,14'399.35,2'990'116.52,0.48%,
5/28/25,2'990'116.52,934.07,2'991'050.59,0.03%,
5/29/25,2'991'050.59,3'982.64,2'995'033.23,0.13%,
5/30/25,2'995'033.23,-3'655.58,2'991'377.65,-0.12%,1.80%
End May,,,,,
6/2/25,2'991'377.65,6'561.24,2'997'938.89,0.22%,
6/3/25,2'997'938.89,402.66,2'998'341.55,0.01%,
6/4/25,2'998'341.55,10'277.17,3'008'618.72,0.34%,
6/5/25,3'008'618.72,-14'326.80,2'994'291.92,-0.48%,
6/6/25,2'994'291.92,-366.36,2'993'925.56,-0.01%,
6/9/25,2'993'925.56,6'647.48,3'000'573.04,0.22%,
6/10/25,3'000'573.04,12'692.91,3'013'265.95,0.42%,
6/11/25,3'013'265.95,-1'375.73,3'011'890.22,-0.05%,
6/12/25,3'011'890.22,1'983.75,3'013'873.97,0.07%,
6/13/25,3'013'873.97,368.19,3'014'242.16,0.01%,
6/16/25,3'014'242.16,5'307.25,3'019'549.41,0.18%,
6/17/25,3'019'549.41,-5'306.02,3'014'243.39,-0.18%,
6/18/25,3'014'243.39,2'597.65,3'016'841.04,0.09%,
6/20/25,3'016'841.04,-12'083.99,3'004'757.05,-0.40%,
6/23/25,3'004'757.05,7'797.86,3'012'554.91,0.26%,
6/24/25,3'012'554.91,9'399.08,3'021'953.99,0.31%,
6/25/25,3'021'953.99,5'993.56,3'027'947.55,0.20%,
6/26/25,3'027'947.55,2'101.79,3'030'049.34,0.07%,
6/27/25,3'030'049.34,5'031.15,3'035'080.49,0.17%,
6/30/25,3'035'080.49,-995.16,3'034'085.33,-0.03%,1.43%
End of Month,,,,,
7/1/25,3'034'085.33,-20'458.75,3'013'626.58,-0.67%,
7/2/25,3'013'626.58,11'286.03,3'024'912.61,0.37%,
7/3/25,3'024'912.61,3'569.61,3'028'482.22,0.12%,
7/7/25,3'028'482.22,-7'602.32,3'020'879.90,-0.25%,
7/8/25,3'020'879.90,-5'132.29,3'015'747.61,-0.17%,
7/9/25,3'015'747.61,11'118.50,3'026'866.11,0.37%,
7/10/25,3'026'866.11,-4'443.04,3'022'423.07,-0.15%,
7/11/25,3'022'423.07,7'281.02,3'029'704.09,0.24%,
7/14/25,3'029'704.09,1'050.21,3'030'754.30,0.03%,
7/15/25,3'030'754.30,11'760.36,3'042'514.66,0.39%,
7/16/25,3'042'514.66,676.31,3'043'190.97,0.02%,
7/17/25,3'043'190.97,-1'023.42,3'042'167.55,-0.03%,
7/18/25,3'042'167.55,3'191.85,3'045'359.40,0.10%,
7/21/25,3'045'359.40,5'532.97,3'050'892.37,0.18%,
7/22/25,3'050'892.37,-10'439.19,3'040'453.18,-0.34%,
7/23/25,3'040'453.18,5'581.14,3'046'034.32,0.18%,
7/24/25,3'046'034.32,4'291.53,3'050'325.85,0.14%,
7/25/25,3'050'325.85,5'565.09,3'055'890.94,0.18%,
7/28/25,3'055'890.94,7'177.52,3'063'068.46,0.23%,
